SITE_NAME,BEGIN,END,KWH_PERIOD,PERIOD_EUR,DAYS,MEAN_DAYS,NB_INVOICES
2362_GE,2020-03-01,2020-03-31,2644.0,"383,08",30,88.13333333333334,35
2362_GE,2020-04-01,2020-04-30,2569.0,"371,58",29,88.58620689655173,35
2362_GE,2020-05-01,2020-05-31,2655.0,"383,26",30,88.5,35
2362_GE,2020-06-01,2020-06-30,2623.0,"378,94",29,90.44827586206897,35
2362_GE,2020-07-01,2020-07-31,2755.0,"396,43",30,91.83333333333333,35
2362_GE,2020-08-01,2020-08-31,2797.0,"401,25",30,93.23333333333333,35
2362_GE,2020-09-01,2020-09-30,3171.0,"452,79",29,109.34482758620689,35
2362_GE,2020-10-01,2020-10-31,3464.0,"492,83",30,115.46666666666667,35
2362_GE,2020-11-01,2020-11-30,3315.0,"459,69",29,114.3103448275862,35
2365_GE,2018-01-01,2018-06-30,13640.0,"1 854,79",180,75.77777777777777,20
2365_GE,2018-07-01,2018-12-31,14222.0,"1 956,44",183,77.71584699453553,20
2365_GE,2019-01-01,2019-06-30,13696.0,"1 800,14",180,76.08888888888889,20
2365_GE,2019-07-01,2019-07-31,2493.0,"323,81",30,83.1,20
2365_GE,2019-08-01,2019-08-31,2656.0,"343,60",30,88.53333333333333,20
2365_GE,2019-09-01,2019-09-30,2598.0,"336,56",29,89.58620689655173,20
2365_GE,2019-10-01,2019-10-31,2619.0,"339,11",30,87.3,20
2365_GE,2019-11-01,2019-11-30,2502.0,"324,91",29,86.27586206896552,20
2365_GE,2019-12-01,2019-12-31,2548.0,"330,49",30,84.93333333333334,20
2365_GE,2020-01-01,2020-01-31,2544.0,"330,01",30,84.8,20
2365_GE,2020-02-01,2020-02-29,2417.0,"309,51",28,86.32142857142857,20
2365_GE,2020-03-01,2020-03-31,2601.0,"334,24",30,86.7,20
2365_GE,2020-04-01,2020-04-30,2621.0,"336,65",29,90.37931034482759,20
2365_GE,2020-05-01,2020-05-31,2705.0,"346,76",30,90.16666666666667,20
2365_GE,2020-06-01,2020-06-30,2632.0,"337,97",29,90.75862068965517,20
2365_GE,2020-07-01,2020-07-31,2779.0,"355,67",30,92.63333333333334,20
